MC simulation of a multilayer film [20 nm of C,50000 nm of Eagle XG] at 15.0 keV + CSF + BSF
Characteristic
Type:	Characteristic
# of electrons	20000
# of scattering events	5941037
Transition	Generated (1/mSr)	Transmitted (1/mSr)
C K-L3	2809.233010737772	2784.5780393242762
O K-L3	227531.2796245171	59648.17260698653
Mg K-L3	2778.424256726776	1651.4095807451229
Al K-L3	28533.146941004048	20252.43436892202
Al K-M3	174.36354986105047	128.3646407096777
Si K-L3	88025.82876291877	64882.235652360985
Si K-M3	1500.4692888432237	1147.0319337823078
Ca K-L3	4714.94755055543	4354.556331021449
Ca K-M3	502.6721086553689	471.919965007421
Ti K-L3	12.103870310025938	11.509610138926552
Ti K-M3	1.3780362021206576	1.3249720151811761
Ti L3-M5	2.7307985485105304	0.4780595101185064
Fe K-L3	12.565995189019883	12.362394247804662
Fe K-M3	1.5186544308823	1.499917395036154
Fe L3-M5	25.732494031543702	4.399481930987108
As K-L3	0.648734734225302	0.6474922539473047
As K-M3	0.08647582168811513	0.08635561183001689
As L3-M5	40.06831442709465	24.4227873832594
Sr K-L3	0.0	0.0
Sr L3-M5	1066.3394581441287	806.9053932447207
Zr L2-N4	0.1636268171579819	0.12021630641221538
Zr L3-M5	31.35207145089701	20.690060635582633
Sn L2-N4	4.505265729208783	4.206979346663789
Sn L3-M5	80.22453366486332	72.68786784278406
Sb L2-N4	1.4343136902782399	1.3525066150856158
Sb L3-M5	24.079256751627497	22.093879123578414
Ba L2-N4	3.31817690737389	3.2267314619951324
Ba L3-M5	45.712482548908646	43.40833655420549
Bremsstrahlung Fluorescence
Type:	Continuum Fluorescence
# of electrons	20000
# of scattering events	589595
Transition	Generated (1/mSr)	Transmitted (1/mSr)
C K-L3	0.13582726625652902	0.13393760636249474
O K-L3	127.13700937242885	23.674567454037884
Mg K-L3	8.552444116036629	2.833632049312524
Al K-L3	112.34291546930396	44.02151040183241
Al K-M3	0.0	0.0
Si K-L3	442.24219761981357	165.9670018186164
Si K-M3	7.538365103568244	3.0416565955615655
Ca K-L3	137.7890436999878	57.96426791157904
Ca K-M3	14.690027493119505	6.9357966352229585
Ti K-L3	0.6178500294216737	0.24895429299114955
Ti K-M3	0.07034276526568133	0.03297224361576144
Ti L3-M5	0.001328826798352644	1.7926845009088953E-4
Fe K-L3	1.0102953367764134	0.5915459214979212
Fe K-M3	0.12209852595167875	0.08016068828265259
Fe L3-M5	0.019088413389020446	0.001495054955003473
As K-L3	0.031461045538304075	0.02666625609483001
As K-M3	0.00419373223069546	0.0037179058652554147
As L3-M5	0.11092765846486473	0.037185439746290114
Sr K-L3	0.0	0.0
Sr L3-M5	4.931548120098018	1.798423718643979
Zr L2-N4	0.0013600601118553628	3.656534715775061E-4
Zr L3-M5	0.21995420918903824	0.05454062424538526
Sn L2-N4	0.12568418718338592	0.05098616497267084
Sn L3-M5	1.581391477393458	0.581045517108979
Sb L2-N4	0.039709824072871665	0.020134449660633085
Sb L3-M5	0.39411081142552784	0.14002049179330464
Ba L2-N4	0.15877312070492597	0.09195988341175107
Ba L3-M5	1.673206612914857	0.7157267151935193
Characteristic Fluorescence
Type:	Characteristic Fluorescence
# of electrons	20000
# of scattering events	592972
Transition	Generated (1/mSr)	Transmitted (1/mSr)
C K-L3	0.021896298766825646	0.02166237205615842
O K-L3	252.17982267151712	40.63197215990238
Mg K-L3	48.84163771144505	19.01460452674955
Al K-L3	643.8457235094229	319.2928849470546
Al K-M3	0.0	0.0
Si K-L3	86.93202503584129	29.854161187880013
Si K-M3	1.4818245464581317	0.549056557107348
Ca K-L3	1.0546293948769212	0.5174483658895485
Ca K-M3	0.11243662333216158	0.06097394428598677
Ti K-L3	0.001468978088150087	7.415581908353255E-4
Ti K-M3	1.6724443783209451E-4	9.412126648840208E-5
Ti L3-M5	0.012702216677819834	0.002012355991958749
Fe K-L3	1.1211045673291905E-4	6.834799792346176E-5
Fe K-M3	1.354902968723515E-5	9.154049999206336E-6
Fe L3-M5	0.06103255173043375	0.004985817116712371
As K-L3	0.0	0.0
As K-M3	0.0	0.0
As L3-M5	0.5540385348720399	0.23809218174715396
Sr K-L3	0.0	0.0
Sr L3-M5	0.9863672786622281	0.3402396114743412
Zr L2-N4	3.3085368988929417E-4	1.2770691826594324E-4
Zr L3-M5	0.04422636377065131	0.013698225743627565
Sn L2-N4	8.932616045020126E-4	4.6873748008823446E-4
Sn L3-M5	0.06898069498265802	0.03451713885851791
Sb L2-N4	3.4105555943353405E-4	1.9938082989778394E-4
Sb L3-M5	0.003673157503093058	0.001786713102508623
Ba L2-N4	3.3771262545059506E-4	1.9918277942316352E-4
Ba L3-M5	0.0033416631741760953	0.00151715756515863
